name,places,transitions,arcs,unfoldingtime
AirplaneLD-COL-0010,89,88,333,5.644
AirplaneLD-COL-0020,159,168,638,7.792000000000001
AirplaneLD-COL-0050,369,408,1553,3.597
AirplaneLD-COL-0100,719,808,3078,7.587000000000001
AirplaneLD-COL-0200,1419,1608,6128,7.732
AirplaneLD-COL-0500,3519,4008,15278,7.021
AirplaneLD-COL-1000,7019,8008,30528,7.4
AirplaneLD-COL-2000,14019,16008,61028,7.827999999999999
AirplaneLD-COL-4000,28019,32008,122028,2.8939999999999997
BridgeAndVehicles-COL-V04P05N02,28,52,326,1.587
BridgeAndVehicles-COL-V10P10N10,48,288,2090,1.219
BridgeAndVehicles-COL-V20P10N10,68,548,4070,4.716
BridgeAndVehicles-COL-V20P10N20,78,968,7350,6.268
BridgeAndVehicles-COL-V20P10N50,108,2228,17190,5.45
BridgeAndVehicles-COL-V20P20N10,68,548,4070,4.916
BridgeAndVehicles-COL-V20P20N20,78,968,7350,4.984
BridgeAndVehicles-COL-V20P20N50,108,2228,17190,5.202000000000001
BridgeAndVehicles-COL-V50P20N10,128,1328,10010,5.49
BridgeAndVehicles-COL-V50P20N20,138,2348,18090,4.83
BridgeAndVehicles-COL-V50P20N50,168,5408,42330,5.97
BridgeAndVehicles-COL-V50P50N10,128,1328,10010,5.059
BridgeAndVehicles-COL-V50P50N20,138,2348,18090,4.773
BridgeAndVehicles-COL-V50P50N50,168,5408,42330,3.7489999999999997
BridgeAndVehicles-COL-V80P20N10,188,2108,15950,1.704
BridgeAndVehicles-COL-V80P20N20,198,3728,28830,1.5730000000000002
BridgeAndVehicles-COL-V80P20N50,228,8588,67470,1.84
BridgeAndVehicles-COL-V80P50N10,188,2108,15950,1.327
BridgeAndVehicles-COL-V80P50N20,198,3728,28830,1.311
BridgeAndVehicles-COL-V80P50N50,228,8588,67470,1.473
CSRepetitions-COL-02,23,28,92,0.7040000000000001
CSRepetitions-COL-03,58,81,279,0.483
CSRepetitions-COL-04,117,176,624,0.49700000000000005
CSRepetitions-COL-05,206,325,1175,0.47700000000000004
CSRepetitions-COL-07,498,833,3087,0.48100000000000004
CSRepetitions-COL-10,1311,2300,8700,0.539
DatabaseWithMutex-COL-02,38,32,88,1.25
DatabaseWithMutex-COL-04,140,128,416,1.06
DatabaseWithMutex-COL-10,830,800,3800,1.212
DatabaseWithMutex-COL-20,3260,3200,23200,1.203
DatabaseWithMutex-COL-40,12920,12800,156800,2.398
DotAndBoxes-COL-2,62,164,1616,0.897
DotAndBoxes-COL-3,132,1096,12064,1.4169999999999998
DotAndBoxes-COL-4,230,3956,45200,2.166
DotAndBoxes-COL-5,356,10472,121760,3.303
DrinkVendingMachine-COL-02,24,72,440,2.227
DrinkVendingMachine-COL-10,120,111160,1026520,7.124
DrinkVendingMachine-COL-16,192,1118560,10642624,66.783
FamilyReunion-COL-L00010M0001C001P001G001,1475,1234,3799,6.731
FamilyReunion-COL-L00020M0002C001P001G001,3271,2753,8446,8.357000000000001
FamilyReunion-COL-L00050M0005C002P002G001,12194,10560,32238,7.211
FamilyReunion-COL-L00100M0010C005P005G002,40605,36871,112728,10.135
FamilyReunion-COL-L00200M0020C010P010G005,143908,134279,411469,13.095999999999998
FamilyReunion-COL-L00400M0040C020P020G001,537708,508489,1558729,34.644
FamilyReunion-COL-L00800M0080C040P040G020,2075308,1976909,6061249,112.583
FamilyReunion-COL-L01200M0120C060P060G030,4612908,4405329,13507769,235.63
GlobalResAllocation-COL-03,33,4791,38652,0.93
GlobalResAllocation-COL-05,75,56105,492760,3.718
GlobalResAllocation-COL-06,102,136662,1226388,9.255
