name,places,transitions,arcs,unfoldingtime
AirplaneLD-COL-0010,89,88,333,0.00029053125
AirplaneLD-COL-0020,159,168,638,0.00050840625
AirplaneLD-COL-0050,369,408,1553,0.0011334375
AirplaneLD-COL-0100,719,808,3078,0.00222825
AirplaneLD-COL-0200,1419,1608,6128,0.00442665625
AirplaneLD-COL-0500,3519,4008,15278,0.01141771875
AirplaneLD-COL-1000,7019,8008,30528,0.0242095625
AirplaneLD-COL-2000,14019,16008,61028,0.054976375
AirplaneLD-COL-4000,28019,32008,122028,0.1398123125
BridgeAndVehicles-COL-V04P05N02,28,52,326,0.00024871875
BridgeAndVehicles-COL-V10P10N10,48,288,2090,0.0012886875
BridgeAndVehicles-COL-V20P10N10,68,548,4070,0.00291065625
BridgeAndVehicles-COL-V20P10N20,78,968,7350,0.0052734375
BridgeAndVehicles-COL-V20P10N50,108,2228,17190,0.012151375
BridgeAndVehicles-COL-V20P20N10,68,548,4070,0.00290428125
BridgeAndVehicles-COL-V20P20N20,78,968,7350,0.00527165625
BridgeAndVehicles-COL-V20P20N50,108,2228,17190,0.0121111875
BridgeAndVehicles-COL-V50P20N10,128,1328,10010,0.01035803125
BridgeAndVehicles-COL-V50P20N20,138,2348,18090,0.01918959375
BridgeAndVehicles-COL-V50P20N50,168,5408,42330,0.04580875
BridgeAndVehicles-COL-V50P50N10,128,1328,10010,0.01035446875
BridgeAndVehicles-COL-V50P50N20,138,2348,18090,0.019196
BridgeAndVehicles-COL-V50P50N50,168,5408,42330,0.04578575
BridgeAndVehicles-COL-V80P20N10,188,2108,15950,0.02199184375
BridgeAndVehicles-COL-V80P20N20,198,3728,28830,0.040986625
BridgeAndVehicles-COL-V80P20N50,228,8588,67470,0.097347125
BridgeAndVehicles-COL-V80P50N10,188,2108,15950,0.021980125
BridgeAndVehicles-COL-V80P50N20,198,3728,28830,0.04085734375
BridgeAndVehicles-COL-V80P50N50,228,8588,67470,0.0972405
CSRepetitions-COL-02,23,28,92,0.000110875
CSRepetitions-COL-03,58,81,279,0.00025703125
CSRepetitions-COL-04,117,176,624,0.0005259375
CSRepetitions-COL-05,206,325,1175,0.00096028125
CSRepetitions-COL-07,498,833,3087,0.00245309375
CSRepetitions-COL-10,1311,2300,8700,0.00700584375
DatabaseWithMutex-COL-02,38,32,88,0.0001361875
DatabaseWithMutex-COL-04,140,128,416,0.00049271875
DatabaseWithMutex-COL-10,830,800,3800,0.00354728125
DatabaseWithMutex-COL-20,3260,3200,23200,0.019668
DatabaseWithMutex-COL-40,12920,12800,156800,0.1307023125
DotAndBoxes-COL-2,66,164,1616,0.00148665625
DotAndBoxes-COL-3,136,1096,12064,0.0098603125
DotAndBoxes-COL-4,234,3956,45200,0.0362271875
DotAndBoxes-COL-5,360,10472,121760,0.09855596875
DrinkVendingMachine-COL-02,24,72,440,0.00030003125
DrinkVendingMachine-COL-10,120,111160,1026520,0.53805965625
DrinkVendingMachine-COL-16,192,1118560,10642624,5.9864396875
DrinkVendingMachine-COL-24,288,8308944,80375328,43.937359375
FamilyReunion-COL-L00010M0001C001P001G001,1486,1234,3799,0.0041165
FamilyReunion-COL-L00020M0002C001P001G001,3292,2753,8446,0.009187125
FamilyReunion-COL-L00050M0005C002P002G001,12245,10560,32238,0.03825575
FamilyReunion-COL-L00100M0010C005P005G002,40706,36871,112728,0.16148865625
FamilyReunion-COL-L00200M0020C010P010G005,144109,134279,411469,0.78052309375
FamilyReunion-COL-L00400M0040C020P020G001,538109,508489,1558729,4.03778875
FamilyReunion-COL-L00800M0080C040P040G020,2076109,1976909,6061249,32.7521625
FamilyReunion-COL-L01200M0120C060P060G030,4614109,4405329,13507769,138.92840625
