name,Bplaces,Btransitions,Barcs,places,transitions,arcs,pureunfoldingtime,colorfixedpoint,partitioning-time,unfoldingtime
AirplaneLD-COL-0010,20,15,56,28,26,72,0.00028546875,0,0.00041687499999999993,0.00070234375
AirplaneLD-COL-0020,20,15,56,28,26,72,0.0002821250000000001,0,0.00045340625000000003,0.0007355312500000001
AirplaneLD-COL-0050,20,15,56,28,26,72,0.0002945,0,0.0005855,0.0008799999999999999
AirplaneLD-COL-0100,20,15,56,28,26,72,0.000295875,0,0.00078478125,0.00108065625
AirplaneLD-COL-0200,20,15,56,28,26,72,0.0002945937500000001,0,0.00116046875,0.0014550625000000002
AirplaneLD-COL-0500,20,15,56,28,26,72,0.0003084999999999999,0,0.00230615625,0.00261465625
AirplaneLD-COL-1000,20,15,56,28,26,72,0.00031515624999999995,0,0.00419559375,0.00451075
AirplaneLD-COL-2000,20,15,56,28,26,72,0.00035793749999999997,0,0.00806278125,0.00842071875
AirplaneLD-COL-4000,20,15,56,28,26,72,0.00043612500000000004,0,0.015767937499999995,0.016204062499999995
BridgeAndVehicles-COL-V04P05N02,15,11,56,28,52,326,0.00044849999999999995,0,0.00129253125,0.00174103125
BridgeAndVehicles-COL-V10P10N10,15,11,56,48,288,2090,0.0021334374999999995,0,0.00775246875,0.00988590625
BridgeAndVehicles-COL-V20P10N10,15,11,56,68,548,4070,0.005326843750000001,0,0.027099875000000002,0.03242671875
BridgeAndVehicles-COL-V20P10N20,15,11,56,78,968,7350,0.00968925,0,0.04444115625,0.05413040625
BridgeAndVehicles-COL-V20P10N50,15,11,56,108,2228,17190,0.022650687499999995,0,0.5278518749999999,0.5505025624999998
BridgeAndVehicles-COL-V20P20N10,15,11,56,68,548,4070,0.005336374999999998,0,0.027048187500000005,0.032384562500000005
BridgeAndVehicles-COL-V20P20N20,15,11,56,78,968,7350,0.009729937500000002,0,0.04444862499999999,0.05417856249999999
BridgeAndVehicles-COL-V20P20N50,15,11,56,108,2228,17190,0.022664281250000005,0,0.5273319999999999,0.5499962812499999
BridgeAndVehicles-COL-V50P20N10,15,11,56,128,1328,10010,0.022851656250000005,0,0.5438861562499999,0.5667378124999999
BridgeAndVehicles-COL-V50P20N20,15,11,56,138,2348,18090,0.0428025,0,0.5605789062500001,0.60338140625
BridgeAndVehicles-COL-V50P20N50,15,11,56,168,5408,42330,0.103092,0,1.0484990625000001,1.1515910625
BridgeAndVehicles-COL-V50P50N10,15,11,56,128,1328,10010,0.02284296875,0,0.54417053125,0.5670135000000001
BridgeAndVehicles-COL-V50P50N20,15,11,56,138,2348,18090,0.04286425,0,0.5630235312499999,0.60588778125
BridgeAndVehicles-COL-V50P50N50,15,11,56,168,5408,42330,0.10308481249999998,0,1.0472890625000002,1.150373875
BridgeAndVehicles-COL-V80P20N10,15,11,56,188,2108,15950,0.05262459374999998,0,3.1673209375000004,3.2199455312500005
BridgeAndVehicles-COL-V80P20N20,15,11,56,198,3728,28830,0.09934340625,0,3.1862781250000003,3.2856215312500003
BridgeAndVehicles-COL-V80P20N50,15,11,56,228,8588,67470,0.23994453124999995,0,3.6656950000000004,3.9056395312500003
BridgeAndVehicles-COL-V80P50N10,15,11,56,188,2108,15950,0.05269009374999999,0,3.1771621875,3.22985228125
BridgeAndVehicles-COL-V80P50N20,15,11,56,198,3728,28830,0.09923665625,0,3.1936393750000005,3.2928760312500005
BridgeAndVehicles-COL-V80P50N50,15,11,56,228,8588,67470,0.23995537499999994,0,3.6621390625000005,3.9020944375000006
CSRepetitions-COL-02,6,5,15,18,20,60,0.00015684375,0,0.00013603125,0.000292875
CSRepetitions-COL-03,6,5,15,38,45,135,0.0002476249999999999,0,0.00015646875,0.00040409374999999994
CSRepetitions-COL-04,6,5,15,66,80,240,0.00037425000000000007,0,0.0001780312499999999,0.00055228125
CSRepetitions-COL-05,6,5,15,102,125,375,0.00053515625,0,0.00020534375,0.0007405000000000001
CSRepetitions-COL-07,6,5,15,198,245,735,0.00100171875,0,0.00032412500000000003,0.00132584375
CSRepetitions-COL-10,6,5,15,402,500,1500,0.002267156249999999,0,0.0007228750000000002,0.0029900312499999996
DatabaseWithMutex-COL-02,11,8,22,38,32,88,0.00026621875000000007,0,0.00025525000000000005,0.0005214687500000001
DatabaseWithMutex-COL-04,11,8,22,140,128,416,0.00066046875,0,0.0002543124999999999,0.00091478125
DatabaseWithMutex-COL-10,11,8,22,830,800,3800,0.0039390625,0,0.00029959375,0.00423865625
DatabaseWithMutex-COL-20,11,8,22,3260,3200,23200,0.020571937500000005,0,0.000393625,0.020965562500000007
DatabaseWithMutex-COL-40,11,8,22,12920,12800,156800,0.13595212499999998,0,0.0005112500000000001,0.13646337499999997
DotAndBoxes-COL-2,8,8,44,54,68,464,0.0010144375,0,0.00120615625,0.00222059375
DotAndBoxes-COL-3,8,8,44,114,232,1696,0.0025254062499999994,0,0.00108515625,0.003610562499999999
DotAndBoxes-COL-4,8,8,44,198,500,3728,0.00527859375,0,0.0011082499999999999,0.00638684375
DotAndBoxes-COL-5,8,8,44,306,872,6560,0.00957709375,0,0.00110709375,0.0106841875
DrinkVendingMachine-COL-02,6,7,28,12,10,34,0.00026253124999999996,0,0.0006077812499999999,0.0008703124999999999
DrinkVendingMachine-COL-10,6,7,28,12,10,34,0.00028440625000000005,0,0.0007405625,0.00102496875
DrinkVendingMachine-COL-16,6,7,28,12,10,34,0.00026762499999999996,0,0.0007065000000000002,0.0009741250000000002
DrinkVendingMachine-COL-24,6,7,28,12,10,34,0.00028099999999999995,0,0.0008139999999999998,0.0010949999999999998
DrinkVendingMachine-COL-48,6,7,28,12,10,34,0.000290625,0,0.00090515625,0.00119578125
DrinkVendingMachine-COL-76,6,7,28,12,10,34,0.00032953125,0,0.0010971562500000003,0.0014266875000000002
DrinkVendingMachine-COL-98,6,7,28,12,10,34,0.00037621875000000003,0,0.001308875,0.00168509375
FamilyReunion-COL-L00010M0001C001P001G001,104,66,198,1222,939,2683,0.004477031249999999,0,0.0011278750000000002,0.00560490625
FamilyReunion-COL-L00020M0002C001P001G001,104,66,198,2732,2104,6037,0.009209187499999999,0,0.0013409687500000001,0.010550156249999998
FamilyReunion-COL-L00050M0005C002P002G001,104,66,198,9917,7654,21991,0.033861968750000006,0,0.0021883125,0.03605028125
FamilyReunion-COL-L00100M0010C005P005G002,104,66,198,31232,24244,69397,0.11988509374999998,0,0.005338593749999999,0.12522368749999999
FamilyReunion-COL-L00200M0020C010P010G005,104,66,198,107357,83419,238597,0.49298000000000003,0,0.016716,0.509696
FamilyReunion-COL-L00400M0040C020P020G001,104,66,198,394607,306769,876997,2.2468343749999997,0,0.06088624999999999,2.3077206249999995
