name,onlyunfoldplaces,reduced-places,places,utransitions,reduced-transitions,transitions,onlyunfoldtime,reduction-time,unfoldingtime
AirplaneLD-COL-0010,89.0,32.0,57.0,88.0,0.0,88.0,0.010857142857142859,0.0,0.010857142857142859
AirplaneLD-COL-0020,159.0,62.0,97.0,168.0,0.0,168.0,0.012428571428571426,0.0,0.012428571428571426
AirplaneLD-COL-0050,369.0,152.0,217.0,408.0,0.0,408.0,0.016285714285714285,0.0,0.016285714285714285
AirplaneLD-COL-0100,719.0,302.0,417.0,808.0,0.0,808.0,0.023857142857142858,0.0,0.023857142857142858
AirplaneLD-COL-0200,1419.0,602.0,817.0,1608.0,0.0,1608.0,0.03371428571428571,0.0,0.03371428571428571
AirplaneLD-COL-0500,3519.0,1502.0,2017.0,4008.0,0.0,4008.0,0.05342857142857142,0.0,0.05342857142857142
AirplaneLD-COL-1000,7019.0,3002.0,4017.0,8008.0,0.0,8008.0,0.09328571428571428,0.0,0.09328571428571428
AirplaneLD-COL-2000,14019.0,6002.0,8017.0,16008.0,0.0,16008.0,0.1377142857142857,0.0,0.1377142857142857
AirplaneLD-COL-4000,28019.0,12002.0,16017.0,32008.0,0.0,32008.0,0.23828571428571427,0.0,0.23828571428571427
BART-COL-002,10865.0,10601.0,264.0,646.0,242.0,404.0,0.2292857142857143,0.004857142857142858,0.23414285714285715
BART-COL-005,11603.0,10943.0,660.0,1615.0,605.0,1010.0,1.5227142857142855,0.007285714285714285,1.5299999999999998
BART-COL-010,12833.0,11513.0,1320.0,3230.0,1210.0,2020.0,17.09942857142857,0.01114285714285714,17.11057142857143
BART-COL-020,15293.0,12653.0,2640.0,6460.0,2420.0,4040.0,1.7375714285714285,0.019571428571428573,1.757142857142857
BART-COL-030,17753.0,11822.57142857143,5930.428571428572,9690.0,3111.4285714285716,6578.571428571428,41.54685714285715,0.018999999999999996,41.56585714285713
BART-COL-040,20213.0,14933.0,5280.0,12920.0,4840.0,8080.0,3.849285714285714,0.02171428571428571,3.8709999999999996
BART-COL-050,22673.0,16073.0,6600.0,16150.0,6050.0,10100.0,0.5975714285714285,0.02957142857142857,0.6271428571428572
BART-COL-060,25133.0,17213.0,7920.0,19380.0,7260.0,12120.0,1.6064285714285715,0.027142857142857142,1.6335714285714287
BridgeAndVehicles-COL-V04P05N02,28.0,0.0,28.0,52.0,0.0,52.0,0.01357142857142857,0.0,0.01357142857142857
BridgeAndVehicles-COL-V10P10N10,48.0,0.0,48.0,288.0,0.0,288.0,0.021714285714285717,0.0,0.021714285714285717
BridgeAndVehicles-COL-V20P10N10,68.0,0.0,68.0,548.0,0.0,548.0,0.028857142857142856,0.0,0.028857142857142856
BridgeAndVehicles-COL-V20P10N20,78.0,0.0,78.0,968.0,0.0,968.0,0.04171428571428572,0.0,0.04171428571428572
BridgeAndVehicles-COL-V20P10N50,108.0,0.0,108.0,2228.0,0.0,2228.0,0.04185714285714286,0.0,0.04185714285714286
BridgeAndVehicles-COL-V20P20N10,68.0,0.0,68.0,548.0,0.0,548.0,0.031285714285714285,0.0,0.031285714285714285
BridgeAndVehicles-COL-V20P20N20,78.0,0.0,78.0,968.0,0.0,968.0,0.037142857142857144,0.0,0.037142857142857144
BridgeAndVehicles-COL-V20P20N50,108.0,0.0,108.0,2228.0,0.0,2228.0,0.04271428571428571,0.0,0.04271428571428571
BridgeAndVehicles-COL-V50P20N10,128.0,0.0,128.0,1328.0,0.0,1328.0,0.057428571428571426,0.0,0.057428571428571426
BridgeAndVehicles-COL-V50P20N20,138.0,0.0,138.0,2348.0,0.0,2348.0,0.07942857142857143,0.0,0.07942857142857143
BridgeAndVehicles-COL-V50P20N50,168.0,0.0,168.0,5408.0,0.0,5408.0,0.11414285714285713,0.0,0.11414285714285713
BridgeAndVehicles-COL-V50P50N10,128.0,0.0,128.0,1328.0,0.0,1328.0,0.061857142857142854,0.0,0.061857142857142854
BridgeAndVehicles-COL-V50P50N20,138.0,0.0,138.0,2348.0,0.0,2348.0,0.09157142857142857,0.0,0.09157142857142857
BridgeAndVehicles-COL-V50P50N50,168.0,0.0,168.0,5408.0,0.0,5408.0,0.12385714285714285,0.0,0.12385714285714285
BridgeAndVehicles-COL-V80P20N10,188.0,0.0,188.0,2108.0,0.0,2108.0,0.0802857142857143,0.0,0.0802857142857143
BridgeAndVehicles-COL-V80P20N20,198.0,0.0,198.0,3728.0,0.0,3728.0,0.10671428571428569,0.0,0.10671428571428569
BridgeAndVehicles-COL-V80P20N50,228.0,0.0,228.0,8588.0,0.0,8588.0,0.17214285714285713,0.0,0.17214285714285713
BridgeAndVehicles-COL-V80P50N10,188.0,0.0,188.0,2108.0,0.0,2108.0,0.07599999999999998,0.0,0.07599999999999998
BridgeAndVehicles-COL-V80P50N20,198.0,0.0,198.0,3728.0,0.0,3728.0,0.10014285714285713,0.0,0.10014285714285713
BridgeAndVehicles-COL-V80P50N50,228.0,0.0,228.0,8588.0,0.0,8588.0,0.15471428571428572,0.0,0.15471428571428572
CSRepetitions-COL-02,23.0,0.0,23.0,28.0,0.0,28.0,0.011000000000000001,0.0,0.011000000000000001
CSRepetitions-COL-03,58.0,0.0,58.0,81.0,0.0,81.0,0.01157142857142857,0.0,0.01157142857142857
CSRepetitions-COL-04,117.0,0.0,117.0,176.0,0.0,176.0,0.02,0.0,0.02
CSRepetitions-COL-05,206.0,0.0,206.0,325.0,0.0,325.0,0.02442857142857142,0.0,0.02442857142857142
CSRepetitions-COL-07,498.0,0.0,498.0,833.0,0.0,833.0,0.03271428571428571,0.0,0.03271428571428571
CSRepetitions-COL-10,1311.0,0.0,1311.0,2300.0,0.0,2300.0,0.044285714285714275,0.0,0.044285714285714275
DatabaseWithMutex-COL-02,38.0,0.0,38.0,32.0,0.0,32.0,0.011857142857142856,0.0,0.011857142857142856
DatabaseWithMutex-COL-04,140.0,0.0,140.0,128.0,0.0,128.0,0.021,0.0,0.021
DatabaseWithMutex-COL-10,830.0,0.0,830.0,800.0,0.0,800.0,0.037,0.0,0.037
DatabaseWithMutex-COL-20,3260.0,0.0,3260.0,3200.0,0.0,3200.0,0.076,0.0,0.076
DatabaseWithMutex-COL-40,12920.0,0.0,12920.0,12800.0,0.0,12800.0,0.26857142857142857,0.0,0.26857142857142857
DotAndBoxes-COL-2,66.0,32.0,34.0,164.0,130.0,34.0,0.037142857142857144,0.00028571428571428574,0.03742857142857143
DotAndBoxes-COL-3,136.0,20.0,116.0,1096.0,344.0,752.0,0.06357142857142857,0.005857142857142857,0.06942857142857142
DotAndBoxes-COL-4,234.0,28.0,206.0,3956.0,852.0,3104.0,0.11628571428571428,0.01942857142857143,0.13571428571428573
DotAndBoxes-COL-5,360.0,36.0,324.0,10472.0,1712.0,8760.0,0.19528571428571428,0.02857142857142857,0.2238571428571429
DrinkVendingMachine-COL-02,24.0,0.0,24.0,52.0,0.0,52.0,0.01457142857142857,0.0,0.01457142857142857
DrinkVendingMachine-COL-10,120.0,0.0,120.0,28660.0,0.0,28660.0,0.31685714285714284,0.0,0.31685714285714284
DrinkVendingMachine-COL-16,192.0,0.0,192.0,248160.0,0.0,248160.0,1.4281428571428572,0.0,1.4281428571428572
DrinkVendingMachine-COL-24,288.0,0.0,288.0,1684944.0,0.0,1684944.0,6.708285714285715,0.0,6.708285714285715
FamilyReunion-COL-L00010M0001C001P001G001,1486.0,21.0,1465.0,1234.0,0.0,1234.0,0.042,0.02542857142857143,0.06742857142857143
FamilyReunion-COL-L00020M0002C001P001G001,3292.0,32.0,3260.0,2753.0,0.0,2753.0,0.07128571428571429,0.04571428571428571,0.11699999999999999
FamilyReunion-COL-L00050M0005C002P002G001,12245.0,68.0,12177.0,10560.0,0.0,10560.0,0.15942857142857145,0.09399999999999999,0.25342857142857145
FamilyReunion-COL-L00100M0010C005P005G002,40706.0,132.0,40574.0,36871.0,0.0,36871.0,0.37842857142857145,0.24685714285714286,0.6252857142857142
FamilyReunion-COL-L00200M0020C010P010G005,144109.0,257.0,143852.0,134279.0,0.0,134279.0,0.824,0.5587142857142857,1.3827142857142858
FamilyReunion-COL-L00400M0040C020P020G001,538109.0,507.0,537602.0,508489.0,0.0,508489.0,1.9448571428571426,1.9311428571428573,3.876
FamilyReunion-COL-L00800M0080C040P040G020,2076109.0,1007.0,2075102.0,1976909.0,0.0,1976909.0,6.214428571428572,6.916857142857142,13.131285714285713
FamilyReunion-COL-L01200M0120C060P060G030,4614109.0,1004.6666666666666,4613104.333333333,4405329.0,0.0,4405329.0,13.5,10.69,24.19
GlobalResAllocation-COL-03,33.0,0.0,33.0,711.0,0.0,711.0,0.04942857142857144,0.0,0.04942857142857144
GlobalResAllocation-COL-05,75.0,0.0,75.0,5330.0,0.0,5330.0,0.15842857142857142,0.0,0.15842857142857142
GlobalResAllocation-COL-06,102.0,0.0,102.0,11460.0,0.0,11460.0,0.20814285714285718,0.0,0.20814285714285718
GlobalResAllocation-COL-07,133.0,0.0,133.0,22253.0,0.0,22253.0,0.3242857142857143,0.0,0.3242857142857143
GlobalResAllocation-COL-09,207.0,0.0,207.0,67536.0,0.0,67536.0,0.6348571428571429,0.0,0.6348571428571429
GlobalResAllocation-COL-10,250.0,0.0,250.0,108560.0,0.0,108560.0,0.782,0.0,0.782
GlobalResAllocation-COL-11,297.0,0.0,297.0,167475.0,0.0,167475.0,1.0242857142857142,0.0,1.0242857142857142
LamportFastMutEx-COL-2,69.0,25.0,44.0,96.0,34.0,62.0,0.01475,0.00125,0.016
LamportFastMutEx-COL-3,100.0,29.0,71.0,156.0,42.0,114.0,0.02775,0.001,0.02875
LamportFastMutEx-COL-4,135.0,33.0,102.0,230.0,50.0,180.0,0.021,0.00275,0.02375
LamportFastMutEx-COL-5,174.0,37.0,137.0,318.0,58.0,260.0,0.0245,0.0025,0.026999999999999996
LamportFastMutEx-COL-6,217.0,41.0,176.0,420.0,66.0,354.0,0.0275,0.003,0.030500000000000003
LamportFastMutEx-COL-7,264.0,45.0,219.0,536.0,74.0,462.0,0.026000000000000002,0.00425,0.03025
LamportFastMutEx-COL-8,315.0,49.0,266.0,666.0,82.0,584.0,0.031,0.00425,0.035250000000000004
NeoElection-COL-2,438.0,410.0,28.0,343.0,323.0,20.0,0.040999999999999995,0.001142857142857143,0.04214285714285714
NeoElection-COL-3,972.0,905.0,67.0,964.0,906.0,58.0,0.03842857142857143,0.0037142857142857147,0.04214285714285714
