name,places,transitions,arcs,unfoldingtime
AirplaneLD-COL-0010,89,88,333,0.4323333333333333
AirplaneLD-COL-0020,159,168,638,0.11499999999999999
AirplaneLD-COL-0050,369,408,1553,0.44566666666666666
AirplaneLD-COL-0100,719,808,3078,0.445
AirplaneLD-COL-0200,1419,1608,6128,0.4586666666666666
AirplaneLD-COL-0500,3519,4008,15278,0.45766666666666667
AirplaneLD-COL-1000,7019,8008,30528,0.4843333333333333
AirplaneLD-COL-2000,14019,16008,61028,0.5256666666666666
AirplaneLD-COL-4000,28019,32008,122028,0.6166666666666666
BART-COL-002,764,646,1202,5.252666666666667
BART-COL-005,1502,1615,3005,3.625
BART-COL-010,2732,3230,6010,3.7996666666666665
BART-COL-020,5192,6460,12020,3.502333333333334
BART-COL-030,7652,9690,18030,5.0616666666666665
BART-COL-040,10112,12920,24040,5.341333333333334
BART-COL-050,12572,16150,30050,3.4869999999999997
BART-COL-060,15032,19380,36060,5.076999999999999
BridgeAndVehicles-COL-V04P05N02,28,52,326,0.009
BridgeAndVehicles-COL-V10P10N10,48,288,2090,0.15400000000000003
BridgeAndVehicles-COL-V20P10N10,68,548,4070,0.2403333333333333
BridgeAndVehicles-COL-V20P10N20,78,968,7350,0.323
BridgeAndVehicles-COL-V20P10N50,108,2228,17190,0.5126666666666667
BridgeAndVehicles-COL-V20P20N10,68,548,4070,0.14666666666666664
BridgeAndVehicles-COL-V20P20N20,78,968,7350,0.291
BridgeAndVehicles-COL-V20P20N50,108,2228,17190,0.39866666666666667
BridgeAndVehicles-COL-V50P20N10,128,1328,10010,0.45233333333333325
BridgeAndVehicles-COL-V50P20N20,138,2348,18090,0.867
BridgeAndVehicles-COL-V50P20N50,168,5408,42330,2.1246666666666667
BridgeAndVehicles-COL-V50P50N10,128,1328,10010,0.43999999999999995
BridgeAndVehicles-COL-V50P50N20,138,2348,18090,0.896
BridgeAndVehicles-COL-V50P50N50,168,5408,42330,2.092333333333333
BridgeAndVehicles-COL-V80P20N10,188,2108,15950,1.157
BridgeAndVehicles-COL-V80P20N20,198,3728,28830,2.156333333333333
BridgeAndVehicles-COL-V80P20N50,228,8588,67470,5.636333333333333
BridgeAndVehicles-COL-V80P50N10,188,2108,15950,1.1283333333333332
BridgeAndVehicles-COL-V80P50N20,198,3728,28830,2.1666666666666665
BridgeAndVehicles-COL-V80P50N50,228,8588,67470,5.6803333333333335
CSRepetitions-COL-02,23,28,92,0.07166666666666667
CSRepetitions-COL-03,58,81,279,0.07166666666666667
CSRepetitions-COL-04,117,176,624,0.07233333333333333
CSRepetitions-COL-05,206,325,1175,0.07233333333333333
CSRepetitions-COL-07,498,833,3087,0.07366666666666667
CSRepetitions-COL-10,1311,2300,8700,0.077
DatabaseWithMutex-COL-02,38,32,88,0.07233333333333333
DatabaseWithMutex-COL-04,140,128,416,0.16433333333333333
DatabaseWithMutex-COL-10,830,800,3800,0.19400000000000003
DatabaseWithMutex-COL-20,3260,3200,23200,0.22533333333333336
DatabaseWithMutex-COL-40,12920,12800,156800,0.4136666666666666
DotAndBoxes-COL-2,66,164,1616,0.06133333333333333
DotAndBoxes-COL-3,136,1096,12064,0.09799999999999999
DotAndBoxes-COL-4,234,3956,45200,0.26633333333333337
DotAndBoxes-COL-5,360,10472,121760,0.617
DrinkVendingMachine-COL-02,24,72,440,0.6836666666666665
DrinkVendingMachine-COL-10,120,111160,1026520,2.9776666666666665
DrinkVendingMachine-COL-16,192,1118560,10642624,25.116666666666664
DrinkVendingMachine-COL-24,288,8308944,80375328,160.07433333333333
FamilyReunion-COL-L00010M0001C001P001G001,1486,1234,3799,0.9099999999999998
FamilyReunion-COL-L00020M0002C001P001G001,3292,2753,8446,0.11166666666666665
FamilyReunion-COL-L00050M0005C002P002G001,12245,10560,32238,0.06566666666666666
FamilyReunion-COL-L00100M0010C005P005G002,40706,36871,112728,0.16166666666666665
FamilyReunion-COL-L00200M0020C010P010G005,144109,134279,411469,0.5773333333333334
FamilyReunion-COL-L00400M0040C020P020G001,538109,508489,1558729,2.267
FamilyReunion-COL-L00800M0080C040P040G020,2076109,1976909,6061249,9.103666666666667
FamilyReunion-COL-L01200M0120C060P060G030,4614109,4405329,13507769,20.76366666666667
FamilyReunion-COL-L03000M0300G150P150G075,28410109,27213219,83449109,155.39800000000002
GlobalResAllocation-COL-03,33,4791,38652,0.06466666666666666
GlobalResAllocation-COL-05,75,56105,492760,0.6006666666666667
GlobalResAllocation-COL-06,102,136662,1226388,1.3210000000000002
GlobalResAllocation-COL-07,133,291067,2652580,2.758333333333333
GlobalResAllocation-COL-09,207,1003437,9334944,9.433
GlobalResAllocation-COL-10,250,1688410,15821020,15.884666666666666
GlobalResAllocation-COL-11,297,2705087,25497868,25.87966666666667
LamportFastMutEx-COL-2,69,96,402,0.01966666666666667
LamportFastMutEx-COL-3,100,156,664,0.126
LamportFastMutEx-COL-4,135,230,990,0.012333333333333335
LamportFastMutEx-COL-5,174,318,1380,0.009333333333333334
LamportFastMutEx-COL-6,217,420,1834,0.009666666666666667
LamportFastMutEx-COL-7,264,536,2352,0.03266666666666667
LamportFastMutEx-COL-8,315,666,2934,0.022000000000000002
NeoElection-COL-2,438,375,2106,0.041666666666666664
NeoElection-COL-3,972,1048,6032,0.046000000000000006
NeoElection-COL-4,1830,2390,13865,0.046000000000000006
NeoElection-COL-5,3090,4746,27594,0.09166666666666667
NeoElection-COL-6,4830,8533,49616,0.14833333333333334
NeoElection-COL-7,7128,14240,82736,0.21933333333333335
NeoElection-COL-8,10062,22428,130167,0.38033333333333336
PermAdmissibility-COL-01,208,1024,5984,0.030333333333333337
PermAdmissibility-COL-02,208,1024,5984,0.012000000000000002
PermAdmissibility-COL-05,208,1024,5984,0.014666666666666668
PermAdmissibility-COL-10,208,1024,5984,0.013
PermAdmissibility-COL-20,208,1024,5984,0.035333333333333335
PermAdmissibility-COL-50,208,1024,5984,0.019333333333333334
Peterson-COL-2,108,138,432,0.008
Peterson-COL-3,256,356,1112,0.011333333333333334
Peterson-COL-4,500,730,2280,0.054
Peterson-COL-5,864,1302,4068,0.02733333333333333
Peterson-COL-6,1372,2114,6608,0.019
Peterson-COL-7,2048,3208,10032,0.03366666666666667
Philosophers-COL-000005,25,25,80,0.0023333333333333335
Philosophers-COL-000010,50,50,160,0.0026666666666666666
Philosophers-COL-000020,100,100,320,0.006666666666666667
Philosophers-COL-000050,250,250,800,0.007333333333333333
Philosophers-COL-000100,500,500,1600,0.012666666666666668
Philosophers-COL-000200,1000,1000,3200,0.0033333333333333335
Philosophers-COL-000500,2500,2500,8000,0.005333333333333333
Philosophers-COL-001000,5000,5000,16000,0.008
Philosophers-COL-002000,10000,10000,32000,0.018333333333333333
Philosophers-COL-005000,25000,25000,80000,0.033
Philosophers-COL-010000,50000,50000,160000,0.06166666666666667
Philosophers-COL-050000,250000,250000,800000,0.297
Philosophers-COL-100000,500000,500000,1600000,0.664
PhilosophersDyn-COL-03,30,84,564,0.006666666666666667
PhilosophersDyn-COL-10,170,2310,18190,0.02
PhilosophersDyn-COL-20,540,17220,140780,0.11433333333333333
PhilosophersDyn-COL-50,2850,257550,2154950,1.5543333333333333
PhilosophersDyn-COL-80,6960,1043280,8780720,6.4736666666666665
PolyORBLF-COL-S02J04T06,476,920,4242,0.035
PolyORBLF-COL-S02J04T08,614,1242,5732,0.037333333333333336
PolyORBLF-COL-S02J04T10,752,1572,7262,0.03133333333333333
PolyORBLF-COL-S02J06T06,536,1064,4866,0.037
PolyORBLF-COL-S02J06T08,690,1434,6564,0.03966666666666666
PolyORBLF-COL-S02J06T10,844,1812,8302,0.03833333333333333
PolyORBLF-COL-S04J04T06,554,2998,20754,0.05566666666666666
PolyORBLF-COL-S04J04T08,712,4012,27744,0.09733333333333333
PolyORBLF-COL-S04J04T10,870,5034,34774,0.061
PolyORBLF-COL-S04J06T06,618,3190,21570,0.050333333333333334
PolyORBLF-COL-S04J06T08,792,4268,28832,0.054
PolyORBLF-COL-S04J06T10,966,5354,36134,0.064
PolyORBLF-COL-S06J04T04,454,6994,59152,0.09566666666666666
PolyORBLF-COL-S06J04T06,632,10500,88770,0.131
PolyORBLF-COL-S06J04T08,810,14014,118428,0.15133333333333335
PolyORBLF-COL-S06J06T04,506,7154,59824,0.10266666666666664
PolyORBLF-COL-S06J06T06,700,10740,89778,0.11966666666666666
PolyORBLF-COL-S06J06T08,894,14334,119772,0.16066666666666665
PolyORBNT-COL-S05J20,369,1230,8864,0.025000000000000005
PolyORBNT-COL-S05J30,519,1430,9824,0.03133333333333333
PolyORBNT-COL-S05J40,669,1630,10784,0.041
PolyORBNT-COL-S05J60,969,2030,12704,0.04133333333333333
PolyORBNT-COL-S05J80,1269,2430,14624,0.038
PolyORBNT-COL-S10J20,494,11780,111159,0.15166666666666664
PolyORBNT-COL-S10J30,694,12080,112619,0.13
PolyORBNT-COL-S10J40,894,12380,114079,0.18333333333333335
PolyORBNT-COL-S10J60,1294,12980,116999,0.1416666666666667
PolyORBNT-COL-S10J80,1694,13580,119919,0.14833333333333334
QuasiCertifProtocol-COL-02,86,56,223,0.006333333333333333
QuasiCertifProtocol-COL-06,270,116,659,0.010666666666666666
QuasiCertifProtocol-COL-10,550,176,1287,0.017
QuasiCertifProtocol-COL-18,1398,296,3119,0.024000000000000004
QuasiCertifProtocol-COL-22,1966,356,4323,0.051333333333333335
QuasiCertifProtocol-COL-28,2998,446,6489,0.043666666666666666
QuasiCertifProtocol-COL-32,3806,506,8173,0.062
Referendum-COL-0010,31,21,51,0.043666666666666666
Referendum-COL-0015,46,31,76,0.02866666666666667
Referendum-COL-0020,61,41,101,0.011000000000000001
Referendum-COL-0050,151,101,251,0.044333333333333336
Referendum-COL-0100,301,201,501,0.016333333333333335
Referendum-COL-0200,601,401,1001,0.017333333333333336
Referendum-COL-0500,1501,1001,2501,0.015333333333333332
Referendum-COL-1000,3001,2001,5001,0.010000000000000002
SafeBus-COL-03,60,97,568,0.026
SafeBus-COL-06,150,463,3022,0.013333333333333334
SafeBus-COL-10,326,1651,11474,0.056999999999999995
SafeBus-COL-15,636,4801,34684,0.33066666666666666
SafeBus-COL-20,1046,10501,77544,0.7696666666666666
SafeBus-COL-50,5606,140251,1083354,25.11866666666667
SafeBus-COL-80,13766,550801,4308564,161.049
SharedMemory-COL-000005,46,60,220,0.0030000000000000005
SharedMemory-COL-000010,141,220,840,0.05033333333333334
SharedMemory-COL-000020,481,840,3280,0.03366666666666667
SharedMemory-COL-000050,2701,5100,20200,0.029333333333333333
SharedMemory-COL-000100,10401,20200,80400,0.13833333333333334
SharedMemory-COL-000200,40801,80400,320800,0.36933333333333335
SharedMemory-COL-000500,252001,501000,2002000,2.329
SharedMemory-COL-001000,1004001,2002000,8004000,9.346
SharedMemory-COL-002000,4008001,8004000,32008000,41.234
Sudoku-COL-AN01,4,1,4,0.0033333333333333335
Sudoku-COL-AN02,20,8,32,0.012000000000000002
Sudoku-COL-AN03,54,27,108,0.007000000000000002
Sudoku-COL-AN04,112,64,256,0.030000000000000002
Sudoku-COL-AN05,200,125,500,0.018000000000000002
Sudoku-COL-AN06,324,216,864,0.0026666666666666666
Sudoku-COL-AN07,490,343,1372,0.006333333333333333
Sudoku-COL-AN08,704,512,2048,0.01833333333333333
Sudoku-COL-AN09,972,729,2916,0.025000000000000005
Sudoku-COL-AN10,1300,1000,4000,0.012666666666666666
Sudoku-COL-AN11,1694,1331,5324,0.013999999999999999
Sudoku-COL-AN12,2160,1728,6912,0.02
Sudoku-COL-AN13,2704,2197,8788,0.05766666666666667
Sudoku-COL-AN14,3332,2744,10976,0.045000000000000005
Sudoku-COL-AN15,4050,3375,13500,0.03366666666666667
Sudoku-COL-AN16,4864,4096,16384,0.054333333333333324
Sudoku-COL-BN01,5,1,5,0.012333333333333335
Sudoku-COL-BN04,128,64,320,0.04700000000000001
Sudoku-COL-BN09,1053,729,3645,0.519
Sudoku-COL-BN16,5120,4096,20480,13.995
TokenRing-COL-005,36,156,624,0.030000000000000002
TokenRing-COL-010,121,1111,4444,0.034666666666666665
TokenRing-COL-015,256,3616,14464,0.06399999999999999
TokenRing-COL-020,441,8421,33684,0.08733333333333333
TokenRing-COL-030,961,27931,111724,0.21133333333333335
TokenRing-COL-040,1681,65641,262564,0.5483333333333333
TokenRing-COL-050,2601,127551,510204,0.9380000000000001
TokenRing-COL-100,10201,1010101,4040404,6.715
TokenRing-COL-200,40401,8040201,32160804,55.19833333333333
VehicularWifi-COL-none,115566,378492,2135794,3.4566666666666666
