name,trunk-Bplaces,trunk-Btransitions,trunk-Barcs,trunk-Aplaces,trunk-Atransitions,trunk-Aarcs,trunk-unfoldingtime
AirplaneLD-COL-0010,20,15,56,89,88,333,0.00029053125
AirplaneLD-COL-0020,20,15,56,159,168,638,0.00050840625
AirplaneLD-COL-0050,20,15,56,369,408,1553,0.0011334375
AirplaneLD-COL-0100,20,15,56,719,808,3078,0.0022282500000000006
AirplaneLD-COL-0200,20,15,56,1419,1608,6128,0.004426656249999999
AirplaneLD-COL-0500,20,15,56,3519,4008,15278,0.011417718750000002
AirplaneLD-COL-1000,20,15,56,7019,8008,30528,0.024209562499999997
AirplaneLD-COL-2000,20,15,56,14019,16008,61028,0.05497637499999999
AirplaneLD-COL-4000,20,15,56,28019,32008,122028,0.1398123125
BridgeAndVehicles-COL-V04P05N02,15,11,56,28,52,326,0.00024871875
BridgeAndVehicles-COL-V10P10N10,15,11,56,48,288,2090,0.0012886875000000001
BridgeAndVehicles-COL-V20P10N10,15,11,56,68,548,4070,0.00291065625
BridgeAndVehicles-COL-V20P10N20,15,11,56,78,968,7350,0.0052734375
BridgeAndVehicles-COL-V20P10N50,15,11,56,108,2228,17190,0.012151375
BridgeAndVehicles-COL-V20P20N10,15,11,56,68,548,4070,0.00290428125
BridgeAndVehicles-COL-V20P20N20,15,11,56,78,968,7350,0.00527165625
BridgeAndVehicles-COL-V20P20N50,15,11,56,108,2228,17190,0.012111187499999999
BridgeAndVehicles-COL-V50P20N10,15,11,56,128,1328,10010,0.010358031249999998
BridgeAndVehicles-COL-V50P20N20,15,11,56,138,2348,18090,0.019189593749999997
BridgeAndVehicles-COL-V50P20N50,15,11,56,168,5408,42330,0.04580875000000001
BridgeAndVehicles-COL-V50P50N10,15,11,56,128,1328,10010,0.010354468750000003
BridgeAndVehicles-COL-V50P50N20,15,11,56,138,2348,18090,0.019196000000000005
BridgeAndVehicles-COL-V50P50N50,15,11,56,168,5408,42330,0.04578574999999999
BridgeAndVehicles-COL-V80P20N10,15,11,56,188,2108,15950,0.021991843750000007
BridgeAndVehicles-COL-V80P20N20,15,11,56,198,3728,28830,0.040986625
BridgeAndVehicles-COL-V80P20N50,15,11,56,228,8588,67470,0.09734712499999999
BridgeAndVehicles-COL-V80P50N10,15,11,56,188,2108,15950,0.021980124999999996
BridgeAndVehicles-COL-V80P50N20,15,11,56,198,3728,28830,0.04085734375
BridgeAndVehicles-COL-V80P50N50,15,11,56,228,8588,67470,0.09724050000000002
CSRepetitions-COL-02,6,5,15,23,28,92,0.000110875
CSRepetitions-COL-03,6,5,15,58,81,279,0.00025703124999999994
CSRepetitions-COL-04,6,5,15,117,176,624,0.0005259375000000001
CSRepetitions-COL-05,6,5,15,206,325,1175,0.0009602812499999999
CSRepetitions-COL-07,6,5,15,498,833,3087,0.002453093750000001
CSRepetitions-COL-10,6,5,15,1311,2300,8700,0.007005843750000001
DatabaseWithMutex-COL-02,11,8,22,38,32,88,0.0001361875
DatabaseWithMutex-COL-04,11,8,22,140,128,416,0.00049271875
DatabaseWithMutex-COL-10,11,8,22,830,800,3800,0.00354728125
DatabaseWithMutex-COL-20,11,8,22,3260,3200,23200,0.019668000000000005
DatabaseWithMutex-COL-40,11,8,22,12920,12800,156800,0.1307023125
DotAndBoxes-COL-2,8,8,44,66,164,1616,0.0014866562500000006
DotAndBoxes-COL-3,8,8,44,136,1096,12064,0.0098603125
DotAndBoxes-COL-4,8,8,44,234,3956,45200,0.036227187499999994
DotAndBoxes-COL-5,8,8,44,360,10472,121760,0.09855596875
DrinkVendingMachine-COL-02,6,7,28,24,72,440,0.00030003125000000006
DrinkVendingMachine-COL-10,6,7,28,120,111160,1026520,0.53805965625
DrinkVendingMachine-COL-16,6,7,28,192,1118560,10642624,5.986439687500001
DrinkVendingMachine-COL-24,6,7,28,288,8308944,80375328,43.93735937500001
FamilyReunion-COL-L00010M0001C001P001G001,104,66,198,1486,1234,3799,0.0041164999999999995
FamilyReunion-COL-L00020M0002C001P001G001,104,66,198,3292,2753,8446,0.009187125
FamilyReunion-COL-L00050M0005C002P002G001,104,66,198,12245,10560,32238,0.03825575
FamilyReunion-COL-L00100M0010C005P005G002,104,66,198,40706,36871,112728,0.16148865624999997
FamilyReunion-COL-L00200M0020C010P010G005,104,66,198,144109,134279,411469,0.7805230937499998
FamilyReunion-COL-L00400M0040C020P020G001,104,66,198,538109,508489,1558729,4.03778875
FamilyReunion-COL-L00800M0080C040P040G020,104,66,198,2076109,1976909,6061249,32.75216249999999
FamilyReunion-COL-L01200M0120C060P060G030,104,66,198,4614109,4405329,13507769,138.92840625
GlobalResAllocation-COL-03,5,7,29,33,4791,38652,0.025313281250000003
GlobalResAllocation-COL-05,5,7,29,75,56105,492760,0.31371390624999995
GlobalResAllocation-COL-06,5,7,29,102,136662,1226388,0.8201120624999999
GlobalResAllocation-COL-07,5,7,29,133,291067,2652580,1.7606550000000003
GlobalResAllocation-COL-09,5,7,29,207,1003437,9334944,6.051768125000001
GlobalResAllocation-COL-10,5,7,29,250,1688410,15821020,10.337165625000003
GlobalResAllocation-COL-11,5,7,29,297,2705087,25497868,16.77205625
LamportFastMutEx-COL-2,18,17,68,69,96,402,0.00036434375000000003
LamportFastMutEx-COL-3,18,17,68,100,156,664,0.0005622499999999999
LamportFastMutEx-COL-4,18,17,68,135,230,990,0.00079128125
LamportFastMutEx-COL-5,18,17,68,174,318,1380,0.0010633125
LamportFastMutEx-COL-6,18,17,68,217,420,1834,0.0013737812500000002
LamportFastMutEx-COL-7,18,17,68,264,536,2352,0.0017458437500000002
LamportFastMutEx-COL-8,18,17,68,315,666,2934,0.0021745625000000003
NeoElection-COL-2,18,22,98,438,375,2106,0.0024661874999999996
NeoElection-COL-3,18,22,98,972,1048,6032,0.006810718749999999
NeoElection-COL-4,18,22,98,1830,2390,13865,0.015269124999999998
NeoElection-COL-5,18,22,98,3090,4746,27594,0.03080296875
NeoElection-COL-6,18,22,98,4830,8533,49616,0.0548725
NeoElection-COL-7,18,22,98,7128,14240,82736,0.09258718749999999
NeoElection-COL-8,18,22,98,10062,22428,130167,0.14738075000000003
PermAdmissibility-COL-01,40,16,83,208,1024,5984,0.0031140312499999996
PermAdmissibility-COL-02,40,16,83,208,1024,5984,0.00309365625
PermAdmissibility-COL-05,40,16,83,208,1024,5984,0.0031035312500000004
PermAdmissibility-COL-10,40,16,83,208,1024,5984,0.0031163125
PermAdmissibility-COL-20,40,16,83,208,1024,5984,0.0031041249999999992
PermAdmissibility-COL-50,40,16,83,208,1024,5984,0.0031081875
Peterson-COL-2,11,14,42,108,138,432,0.00053203125
Peterson-COL-3,11,14,42,256,356,1112,0.0012479375000000001
Peterson-COL-4,11,14,42,500,730,2280,0.002513125
Peterson-COL-5,11,14,42,864,1302,4068,0.004471968750000001
Peterson-COL-6,11,14,42,1372,2114,6608,0.007329499999999999
Peterson-COL-7,11,14,42,2048,3208,10032,0.011078718749999997
Philosophers-COL-000005,5,5,15,25,25,80,8.556249999999999e-05
Philosophers-COL-000010,5,5,15,50,50,160,0.00015049999999999997
Philosophers-COL-000020,5,5,15,100,100,320,0.00028418750000000004
Philosophers-COL-000050,5,5,15,250,250,800,0.0006609999999999999
Philosophers-COL-000100,5,5,15,500,500,1600,0.0013191562499999998
Philosophers-COL-000200,5,5,15,1000,1000,3200,0.0026254687500000006
Philosophers-COL-000500,5,5,15,2500,2500,8000,0.006664343750000002
Philosophers-COL-001000,5,5,15,5000,5000,16000,0.014160812499999996
Philosophers-COL-002000,5,5,15,10000,10000,32000,0.030241999999999998
Philosophers-COL-005000,5,5,15,25000,25000,80000,0.10342012500000003
Philosophers-COL-010000,5,5,15,50000,50000,160000,0.2866202187500001
Philosophers-COL-050000,5,5,15,250000,250000,800000,3.5837065625
Philosophers-COL-100000,5,5,15,500000,500000,1600000,12.166037500000002
PhilosophersDyn-COL-03,8,7,33,30,84,564,0.0004154374999999999
PhilosophersDyn-COL-10,8,7,33,170,2310,18190,0.010588437500000004
PhilosophersDyn-COL-20,8,7,33,540,17220,140780,0.07908974999999999
PhilosophersDyn-COL-50,8,7,33,2850,257550,2154950,1.386170625
PhilosophersDyn-COL-80,8,7,33,6960,1043280,8780720,5.844586249999998
PolyORBLF-COL-S02J04T06,81,65,254,476,920,4242,0.003222906249999999
PolyORBLF-COL-S02J04T08,81,65,254,614,1242,5732,0.00427121875
PolyORBLF-COL-S02J04T10,81,65,254,752,1572,7262,0.005371812500000001
PolyORBLF-COL-S02J06T06,81,65,254,536,1064,4866,0.0037339375000000003
PolyORBLF-COL-S02J06T08,81,65,254,690,1434,6564,0.0048587187499999985
PolyORBLF-COL-S02J06T10,81,65,254,844,1812,8302,0.006127406250000001
PolyORBLF-COL-S04J04T06,81,65,254,554,2998,20754,0.014461124999999998
PolyORBLF-COL-S04J04T08,81,65,254,712,4012,27744,0.019268187500000002
PolyORBLF-COL-S04J04T10,81,65,254,870,5034,34774,0.024119562499999997
PolyORBLF-COL-S04J06T06,81,65,254,618,3190,21570,0.015119937499999996
PolyORBLF-COL-S04J06T08,81,65,254,792,4268,28832,0.020224312500000004
PolyORBLF-COL-S04J06T10,81,65,254,966,5354,36134,0.025253843749999994
PolyORBLF-COL-S06J04T04,81,65,254,454,6994,59152,0.038892437499999995
PolyORBLF-COL-S06J04T06,81,65,254,632,10500,88770,0.05856446874999999
PolyORBLF-COL-S06J04T08,81,65,254,810,14014,118428,0.0786276875
PolyORBLF-COL-S06J06T04,81,65,254,506,7154,59824,0.039784531250000005
PolyORBLF-COL-S06J06T06,81,65,254,700,10740,89778,0.059899562499999996
PolyORBLF-COL-S06J06T08,81,65,254,894,14334,119772,0.07866687500000004
PolyORBNT-COL-S05J20,48,38,140,369,1230,8864,0.0061675312499999985
PolyORBNT-COL-S05J30,48,38,140,519,1430,9824,0.0069369375
PolyORBNT-COL-S05J40,48,38,140,669,1630,10784,0.0078039999999999984
PolyORBNT-COL-S05J60,48,38,140,969,2030,12704,0.00916271875
PolyORBNT-COL-S05J80,48,38,140,1269,2430,14624,0.010840125
PolyORBNT-COL-S10J20,48,38,140,494,11780,111159,0.0696324375
PolyORBNT-COL-S10J30,48,38,140,694,12080,112619,0.07149609374999998
PolyORBNT-COL-S10J40,48,38,140,894,12380,114079,0.07131590625000002
PolyORBNT-COL-S10J60,48,38,140,1294,12980,116999,0.07452696875
PolyORBNT-COL-S10J80,48,38,140,1694,13580,119919,0.07768771875
QuasiCertifProtocol-COL-02,30,26,77,86,56,223,0.00024953124999999997
QuasiCertifProtocol-COL-06,30,26,77,270,116,659,0.0006321874999999998
QuasiCertifProtocol-COL-10,30,26,77,550,176,1287,0.00120796875
QuasiCertifProtocol-COL-18,30,26,77,1398,296,3119,0.00304065625
QuasiCertifProtocol-COL-22,30,26,77,1966,356,4323,0.00428196875
QuasiCertifProtocol-COL-28,30,26,77,2998,446,6489,0.006743781249999998
QuasiCertifProtocol-COL-32,30,26,77,3806,506,8173,0.008821843749999999
Referendum-COL-0010,4,3,6,31,21,51,7.275e-05
Referendum-COL-0015,4,3,6,46,31,76,9.903125000000003e-05
Referendum-COL-0020,4,3,6,61,41,101,0.00012165624999999999
Referendum-COL-0050,4,3,6,151,101,251,0.00027049999999999996
Referendum-COL-0100,4,3,6,301,201,501,0.0005155312499999999
Referendum-COL-0200,4,3,6,601,401,1001,0.0010200937500000002
Referendum-COL-0500,4,3,6,1501,1001,2501,0.0026189062499999993
Referendum-COL-1000,4,3,6,3001,2001,5001,0.00569334375
SafeBus-COL-03,20,14,68,60,97,568,0.00043515625
SafeBus-COL-06,20,14,68,150,463,3022,0.0019617812500000004
SafeBus-COL-10,20,14,68,326,1651,11474,0.007412656250000002
SafeBus-COL-15,20,14,68,636,4801,34684,0.02414275
SafeBus-COL-20,20,14,68,1046,10501,77544,0.05800384374999999
SafeBus-COL-50,20,14,68,5606,140251,1083354,1.2807368749999999
SafeBus-COL-80,20,14,68,13766,550801,4308564,6.88255
SharedMemory-COL-000005,6,5,16,46,60,220,0.00020153125
SharedMemory-COL-000010,6,5,16,141,220,840,0.0006770312499999997
SharedMemory-COL-000020,6,5,16,481,840,3280,0.0024858125000000006
SharedMemory-COL-000050,6,5,16,2701,5100,20200,0.016372124999999998
SharedMemory-COL-000100,6,5,16,10401,20200,80400,0.08707206250000002
SharedMemory-COL-000200,6,5,16,40801,80400,320800,0.6311875312500002
SharedMemory-COL-000500,6,5,16,252001,501000,2002000,14.725990625000001
SharedMemory-COL-001000,6,5,16,1004001,2002000,8004000,215.78878125000003
TokenRing-COL-005,1,2,4,36,156,624,0.000599375
TokenRing-COL-010,1,2,4,121,1111,4444,0.003927375
TokenRing-COL-015,1,2,4,256,3616,14464,0.01233940625
TokenRing-COL-020,1,2,4,441,8421,33684,0.029707187500000006
TokenRing-COL-030,1,2,4,961,27931,111724,0.1001740625
TokenRing-COL-040,1,2,4,1681,65641,262564,0.2591603125
TokenRing-COL-050,1,2,4,2601,127551,510204,0.5143438125
TokenRing-COL-100,1,2,4,10201,1010101,4040404,4.435740000000001
TokenRing-COL-200,1,2,4,40401,8040201,32160804,35.680503125
